Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,126.220001,126.519997,124.500000,124.599998,120.923309,5552100
2022-08-09,124.489998,124.900002,123.699997,124.209999,120.544815,2421300
2022-08-10,125.050003,126.279999,125.000000,125.900002,122.184944,3370300
2022-08-11,126.300003,127.080002,126.199997,126.889999,123.145737,2977600
2022-08-12,127.709999,128.289993,126.930000,128.029999,124.252098,2393500
2022-08-15,127.870003,128.479996,127.320000,128.449997,124.659698,5420000
2022-08-16,128.110001,129.660004,128.039993,129.259995,125.445801,1900500
2022-08-17,128.699997,129.169998,128.389999,129.070007,125.261414,4121300
2022-08-18,129.100006,129.949997,129.000000,129.600006,125.775780,1952000
2022-08-19,129.100006,129.190002,128.160004,129.050003,125.241997,2898400
2022-08-22,127.699997,127.940002,126.680000,127.629997,123.863899,3192900
2022-08-23,126.540001,126.900002,125.849998,126.489998,122.757530,3199900
2022-08-24,123.500000,124.010002,121.809998,123.199997,119.564613,4705100
2022-08-25,123.610001,126.430000,123.129997,125.760002,122.049072,3446600
2022-08-26,126.019997,126.589996,124.949997,124.970001,121.282394,2148700
2022-08-29,123.750000,125.279999,123.599998,125.070000,121.379440,1868000
2022-08-30,125.330002,125.940002,122.820000,123.150002,119.516090,2205700
2022-08-31,123.150002,123.419998,122.129997,122.129997,118.526184,2395800
2022-09-01,121.500000,122.019997,120.279999,121.889999,118.293274,2598400
2022-09-02,123.000000,124.750000,122.620003,123.040001,119.409340,2857700
2022-09-06,123.110001,123.800003,121.250000,122.500000,118.885269,2400700
2022-09-07,122.180000,124.419998,121.739998,123.919998,120.263367,1989900
2022-09-08,123.580002,125.849998,123.199997,125.639999,121.932617,1735200
2022-09-09,126.449997,128.100006,126.400002,127.680000,123.912422,1781500
2022-09-12,128.330002,129.410004,128.020004,128.929993,125.125526,2317200
2022-09-13,127.459999,127.980003,126.519997,126.889999,123.145737,1903400
2022-09-14,127.269997,127.860001,126.419998,126.980003,123.233086,2386100
