Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,52.636658,53.086819,52.556271,52.773312,48.467686,485160
2018-06-12,52.837620,53.038586,52.524117,53.030548,48.703938,375439
2018-06-13,53.006432,53.110931,52.572346,52.733120,48.430782,372702
2018-06-14,52.411575,53.167202,52.299034,52.877815,48.783039,393228
2018-06-15,52.781349,53.681671,52.540192,53.231510,49.109337,2205239
2018-06-18,53.102894,53.689713,52.765274,53.601288,49.450489,381162
2018-06-19,53.528938,53.617363,53.070740,53.239552,49.116753,398951
2018-06-20,53.480705,54.694534,53.376205,54.622185,50.392319,603589
2018-06-21,54.469452,54.606110,54.043407,54.163986,49.969612,488643
2018-06-22,54.228294,54.453377,54.091640,54.204182,50.006691,369717
2018-06-25,54.172028,54.340836,53.914791,54.204182,50.006691,908742
2018-06-26,54.332798,55.096462,54.011253,54.654343,50.421997,992339
2018-06-27,54.790997,55.369774,54.606110,54.927654,50.674137,684200
2018-06-28,54.670418,54.863342,53.946945,54.300644,50.095684,455677
2018-06-29,54.437298,54.493568,54.091640,54.340836,50.132763,373946
2018-07-03,54.485531,54.573956,53.914791,54.019295,49.836117,401812
2018-07-04,53.979099,54.107716,53.858521,53.938908,49.761955,165701
2018-07-05,53.882637,54.019295,53.295818,53.336014,49.205746,431419
2018-07-06,53.368168,53.906754,53.295818,53.818329,49.650711,497973
2018-07-09,53.818329,54.180065,53.713825,53.858521,49.687790,383650
2018-07-10,54.011253,54.316719,53.802250,54.107716,49.917686,542260
2018-07-11,53.963024,54.871384,53.898712,54.742764,50.503567,724879
2018-07-12,54.766880,55.811897,54.766880,55.643085,51.334167,1755284
2018-07-13,55.643085,55.876205,55.490353,55.610931,51.304504,253154
2018-07-16,55.586819,55.972668,55.522507,55.860130,51.534405,1074692
2018-07-17,55.787781,56.205788,55.594856,56.053055,51.712383,500088
2018-07-18,56.053055,56.221867,55.723473,55.723473,51.408329,1646310
2018-07-19,55.643085,56.045017,55.586819,55.940514,51.608559,270072
2018-07-20,55.892284,55.964630,55.506432,55.723473,51.408329,421467
2018-07-23,55.827972,55.827972,55.514469,55.787781,51.467659,356282
2018-07-24,55.747589,55.884243,55.112541,55.273312,50.993031,403180
2018-07-25,54.742764,55.200966,54.461414,55.088425,50.822468,397085
2018-07-26,55.506432,56.036976,55.273312,55.972668,51.638218,535666
2018-07-27,55.964630,56.181671,55.466236,55.715435,51.400921,427065
2018-07-30,55.747589,55.827972,55.209003,55.265274,50.985615,381286
2018-07-31,55.249195,55.369774,54.815113,55.289391,51.007862,698879
2018-08-01,55.466236,55.466236,54.332798,54.606110,50.377499,596871
2018-08-02,54.630226,54.855305,54.131832,54.662380,50.429405,338866
2018-08-03,54.581993,54.758842,54.340836,54.702572,50.466484,299058
2018-08-07,54.839230,54.887459,54.027332,54.091640,49.902863,631828
2018-08-08,54.067524,54.533764,53.898712,54.437298,50.221756,396463
2018-08-09,54.421223,54.799034,54.340836,54.799034,50.555473,535666
2018-08-10,54.614147,54.726688,53.617363,53.930866,49.754532,620258
2018-08-13,53.866558,54.340836,53.858521,54.139870,49.947361,554700
2018-08-14,54.220257,55.506432,54.220257,55.273312,50.993031,707587
2018-08-15,55.152733,55.168812,54.284565,54.863342,50.614799,657454
