Date,Open,High,Low,Close,Adj Close,Volume
2018-07-17,1082.199951,1105.520020,1082.199951,1105.010010,1089.631714,29200
2018-07-18,1098.160034,1117.750000,1091.199951,1107.760010,1092.343628,37600
2018-07-19,1106.819946,1134.300049,1106.819946,1116.390015,1100.853516,27800
2018-07-20,1117.560059,1129.380005,1102.699951,1102.699951,1087.354004,25800
2018-07-23,1103.640015,1103.640015,1080.010010,1081.619995,1066.567261,30600
2018-07-24,1083.969971,1083.969971,1051.729980,1056.000000,1041.303833,38800
2018-07-25,1041.010010,1073.250000,1041.010010,1066.670044,1051.825439,30800
2018-07-26,1071.910034,1072.839966,1050.000000,1054.599976,1039.923462,16100
2018-07-27,1044.050049,1044.050049,950.000000,959.929993,946.570923,106700
2018-07-30,957.099976,960.159973,912.859985,919.659973,906.861267,97600
2018-07-31,919.659973,951.729980,919.659973,943.030029,929.906189,74700
2018-08-01,949.340027,954.900024,919.080017,930.000000,917.057495,49600
2018-08-02,928.909973,952.640015,920.020020,948.090027,934.895752,45900
2018-08-03,945.729980,948.750000,926.599976,935.549988,922.530151,44700
2018-08-07,937.000000,950.340027,914.789978,917.780029,905.007568,117400
2018-08-08,917.590027,924.690002,898.000000,913.109985,900.402527,110700
2018-08-09,913.340027,951.000000,911.109985,940.570007,927.480408,58000
2018-08-10,935.940002,948.380005,930.000000,943.700012,930.566833,34800
2018-08-13,946.000000,962.380005,945.150024,955.919983,942.616577,51800
2018-08-14,956.650024,973.960022,942.000000,968.419983,954.942749,59500
2018-08-15,962.479980,967.520020,942.669983,945.400024,932.243164,54300
2018-08-16,945.609985,951.869995,933.369995,938.260010,925.202454,46800
2018-08-17,940.090027,951.510010,936.059998,941.770020,928.663635,32400
2018-08-20,941.909973,944.700012,919.309998,925.000000,912.126953,43000
2018-08-21,925.000000,933.539978,917.000000,920.000000,907.196533,36900
2018-08-22,920.869995,933.000000,919.260010,926.419983,913.527283,38000
2018-08-23,927.820007,938.099976,922.940002,931.450012,918.487305,28500
